titles,links,content,time,media
總統大選》「最後一次拜託」　李登輝：給台灣與蔡英文一個機會,https://news.ltn.com.tw/news/politics/breakingnews/592472,新聞／綜合報導〕台灣民主守護者、前總統李登輝今（13）日晚間9時15分現身民進黨總統候選人蔡英文在新北市板橋的造勢晚會，站出來力挺蔡英文，高呼這將是自己「最後一次拜託」、「台灣交給你們了」，拜託...,2012/1/13 21:29,Liberal Times
總統大選》選票挺小英　游錫堃：全球第70女元首,https://news.ltn.com.tw/news/politics/breakingnews/592464,"站為小英催票，競選總部總督導游錫堃說，「女性從政是世界潮流，全球現在有69位女性國家元首，蔡英文如果當選就是全球第70位，呼籲大家用選票支持。」

　游錫堃說，「世界政壇上越來越多女性從政，這已經是...",2012/1/13 21:04,Liberal Times
總統大選》批馬不在乎民怨　謝：讓驕傲公雞留歷史,https://news.ltn.com.tw/news/politics/breakingnews/592451,〔即時新聞／綜合報導〕台灣總統大選進入最後倒數階段，民進黨總統候選人蔡英文的競選團隊總指揮謝長廷，在噗浪（plurk）po文批評，國民黨總統候選人馬英九說不在乎民怨，既然如此，選民就一起用選票把「驕傲的...,2012/1/13 20:26,Liberal Times
總統大選》日看大選　蔡英文、馬英九五五波,https://news.ltn.com.tw/news/politics/breakingnews/592439,"舉，日本媒體認為，這次選戰雖國民黨總統參選人馬英九有執政優勢，但是在野黨的民進黨總統候參人蔡英文卻急起直追，現在造成馬、蔡兩人的支持度是伯仲之間。

　日本媒體《時事通信》表示，馬英九挾執政優勢，表...",2012/1/13 19:55,Liberal Times
總統大選》彭博社看大選　小豬威力力抗財團,https://news.ltn.com.tw/news/politics/breakingnews/592410,"就是小豬威力力抗財團經濟。」

　彭博社關注本次台灣大選，報導提到，「民進黨總統參選人蔡英文的小豬威力，成攻團結支持者的選票，這些小豬是由選民以小額捐款自動捐獻，凸顯了民進黨與國民黨的不同，有著反差...",2012/1/13 19:00,Liberal Times
總統大選》沒空！　包道格訪小英撲空,https://news.ltn.com.tw/news/politics/breakingnews/592379,"報導〕「美國在台協會」（AIT）台北辦處事處前處長包道格，原本安排下午拜會民進黨總統候選人蔡英文競選總部，但出發前一刻，行程生變，綠營方面臨時以「沒空」為由，取消這次會面。

　包道格昨(12)抵台...",2012/1/13 18:04,Liberal Times
總統大選》紐時關注台大選　「決定核能命運」,https://news.ltn.com.tw/news/politics/breakingnews/592376,"重兩岸和經濟議題，卻忽略了重要的「核能議題」。

　《紐約時報》指出，民進黨總統候選人蔡英文首先提出「非核家園」概念，並舉日本311大地震為例，指出核電廠對現代人的生活有相當緊迫的危機，蔡英文...",2012/1/13 17:55,Liberal Times
總統大選》英嘉掃街　盼台北人站出來,https://news.ltn.com.tw/news/politics/breakingnews/592337,〔記者陳璟民／台北報導〕民進黨總統候選人蔡英文與副總統候選人蘇嘉全，今天發動車隊遊街搶攻北北基選票，蔡英文特別向台北市民喊話，強調「每次要改變的時刻，最大動能都來自台北市民」，關鍵大選需要台北人...,2012/1/13 16:49,Liberal Times
總統大選》網友再KUSO　候選人成電視劇主角,https://news.ltn.com.tw/news/politics/breakingnews/592332,"有網友將電視劇「我可能不會愛你」海報改版，直呼「他們3個年輕的時候眼神好魅惑！」還有人說，蔡英文與日本女星宮崎葵有幾分神似。

　電視劇「我可能不會愛你」，由林依晨、陳柏霖、王陽明主演，而陳柏霖造成...",2012/1/13 16:43,Liberal Times
總統大選》選前之夜　李登輝、林義雄將力挺小英,https://news.ltn.com.tw/news/politics/breakingnews/592311,李欣芳／台北報導〕最新消息，李登輝前總統今晚準備在新北市板橋第一體育場，替民進黨總統候選人蔡英文的板橋選前之夜站台助講，阿輝伯的動作被視為搏命演出，儘管近來有心臟病、高血壓、糖尿病的李登輝仍在靜養中，幕...,2012/1/13 15:55,Liberal Times
