titles,links,time,media
得票過半 馬英九連任總統,https://www.chinatimes.com/newspapers/20120115000757-260107,01:542012/01/15,China Times
民視支持宋楚瑜 三立豪挺馬英九?,https://www.chinatimes.com/newspapers/20120115000557-260107,01:522012/01/15,China Times
倪永杰：將掀新一輪兩岸熱,https://www.chinatimes.com/newspapers/20120115000944-260301,01:552012/01/15,China Times
蔡英文承認敗選 辭去黨主席,https://www.chinatimes.com/newspapers/20120115000924-260301,01:552012/01/15,China Times
馬英九大勝,https://www.chinatimes.com/newspapers/20120115000913-260301,01:552012/01/15,China Times
馬英九頭寮謁靈 眼眶泛紅,https://www.chinatimes.com/newspapers/20120114000332-260107,01:212012/01/14,China Times
馬英九頭寮謁靈 木門撞臉,https://www.chinatimes.com/newspapers/20120114001111-260301,01:262012/01/14,China Times
馬英九夫婦 攜手助江玲君,https://www.chinatimes.com/newspapers/20120114000661-260107,01:232012/01/14,China Times
宋：棄奧步 還台灣民主公道,https://www.chinatimes.com/newspapers/20120114000348-260107,01:212012/01/14,China Times
羅福助一月圍城 李慶華：拖累馬,https://www.chinatimes.com/newspapers/20120113000356-260107,01:382012/01/13,China Times
3天2訪新莊 馬英九猛攻綠票倉,https://www.chinatimes.com/newspapers/20120112000510-260107,01:042012/01/12,China Times
馬英九：台灣人民需廉能政府,https://www.chinatimes.com/newspapers/20120111002259-260301,01:392012/01/11,China Times
美國以行動支持馬英九,https://www.chinatimes.com/newspapers/20120111002392-260301,01:402012/01/11,China Times
選舉看板－馬英九 回防新北市車隊掃街,https://www.chinatimes.com/newspapers/20120110000601-260107,01:302012/01/10,China Times
廖本煙提告 黃志雄擬控誣告,https://www.chinatimes.com/newspapers/20120110000621-260107,01:302012/01/10,China Times
選舉看板－黃志雄徒步掃街 馬英九陪同力挺,https://www.chinatimes.com/newspapers/20120109000463-260107,01:482012/01/09,China Times
選舉看板－錢薇娟和李乾龍 馬英九拉抬選情,https://www.chinatimes.com/newspapers/20120109000461-260107,01:482012/01/09,China Times
感性催票 馬：再當四年客家代理人,https://www.chinatimes.com/newspapers/20120109000315-260107,01:472012/01/09,China Times
馬未穿防彈衣 上千警力戒備,https://www.chinatimes.com/newspapers/20120109000316-260107,01:472012/01/09,China Times
周美青上香 握手民眾綿延百米,https://www.chinatimes.com/newspapers/20120109000538-260107,01:482012/01/09,China Times
搶眷村票 藍綠選將大火併,https://www.chinatimes.com/newspapers/20120109000398-260107,01:472012/01/09,China Times
救弱補強！新北構築「馬英九防線」,https://www.chinatimes.com/newspapers/20120108000268-260107,01:192012/01/08,China Times
中小企業挺ECFA 馬英九振奮,https://www.chinatimes.com/newspapers/20120107001133-260301,01:362012/01/07,China Times
社評－支持九二共識 非厚愛馬英九,https://www.chinatimes.com/newspapers/20120106001009-260301,01:432012/01/06,China Times
批澎縣長拉票 楊曜率隊抗議,https://www.chinatimes.com/newspapers/20120106000683-260107,01:412012/01/06,China Times
阻馬高雄逛夜市 陳、郭爭嗆比大聲,https://www.chinatimes.com/newspapers/20120105000396-260107,01:072012/01/05,China Times
陽明海運盧峰海 表態挺馬,https://www.chinatimes.com/newspapers/20120105001092-260301,01:112012/01/05,China Times
小豬犯大忌拍背馬英九喊冤只摸一把 相信總統不介意,https://www.chinatimes.com/newspapers/20120102000485-260107,01:142012/01/02,China Times
《醫界老兵》楊思標挺馬清廉,https://www.chinatimes.com/newspapers/20120102000286-260107,01:142012/01/02,China Times
馬英九：台灣出口待提升,https://www.chinatimes.com/newspapers/20111231000037-260202,01:432011/12/31,China Times
馬英九：苗栗站明年一定動工,https://www.chinatimes.com/newspapers/20111230000039-260202,01:012011/12/30,China Times
宋能否拿5趴 馬英九生死門,https://www.chinatimes.com/newspapers/20111228000364-260107,01:262011/12/28,China Times
