titles,links,time,media
總統大選》批馬不在乎民怨　謝：讓驕傲公雞留歷史,https://news.ltn.com.tw/news/politics/breakingnews/592451,2012-01-13,Liberal Times
總統大選》企業紛表態　施明德：過度了,https://news.ltn.com.tw/news/politics/breakingnews/592440,2012-01-13,Liberal Times
總統大選》日看大選　蔡英文、馬英九五五波,https://news.ltn.com.tw/news/politics/breakingnews/592439,2012-01-13,Liberal Times
總統大選》彭博社看大選　小豬威力力抗財團,https://news.ltn.com.tw/news/politics/breakingnews/592410,2012-01-13,Liberal Times
總統大選》紐時關注台大選　「決定核能命運」,https://news.ltn.com.tw/news/politics/breakingnews/592376,2012-01-13,Liberal Times
總統大選》網友再KUSO　候選人成電視劇主角,https://news.ltn.com.tw/news/politics/breakingnews/592332,2012-01-13,Liberal Times
總統大選》周美青新營拜票　菜販生氣揮手,https://news.ltn.com.tw/news/politics/breakingnews/592249,2012-01-13,Liberal Times
總統大選》出示買票影帶　綠質疑買票放手一搏,https://news.ltn.com.tw/news/politics/breakingnews/592198,2012-01-13,Liberal Times
今日各報重點新聞一覽,https://news.ltn.com.tw/news/politics/breakingnews/592110,2012-01-13,Liberal Times
親中有回報,https://news.ltn.com.tw/news/opinion/paper/553977,2012-01-13,Liberal Times
陪蘇俊賓拜票 周美青超人氣,https://news.ltn.com.tw/news/local/paper/553965,2012-01-13,Liberal Times
陳唐山掃街 賴清德相隨,https://news.ltn.com.tw/news/local/paper/553962,2012-01-13,Liberal Times
高市綠營目標 小英96萬票起跳,https://news.ltn.com.tw/news/local/paper/553961,2012-01-13,Liberal Times
藍議員挺綠 李鴻鈞替邱議瑩拉票,https://news.ltn.com.tw/news/local/paper/553960,2012-01-13,Liberal Times
今天，想一想,https://news.ltn.com.tw/news/opinion/paper/553926,2012-01-13,Liberal Times
街頭巷戰 選將猛拜票狂掃街,https://news.ltn.com.tw/news/local/paper/553917,2012-01-13,Liberal Times
選情緊繃 簡余晏、羅淑蕾告急 感性催票,https://news.ltn.com.tw/news/local/paper/553916,2012-01-13,Liberal Times
馬輔選李慶華 羅福助支持者包圍,https://news.ltn.com.tw/news/local/paper/553913,2012-01-13,Liberal Times
南方朔疾呼︰台灣必須改變,https://news.ltn.com.tw/news/focus/paper/553904,2012-01-13,Liberal Times
蔡︰馬沒政績 只會販賣恐懼,https://news.ltn.com.tw/news/focus/paper/553900,2012-01-13,Liberal Times
軍公教子女要惜福,https://news.ltn.com.tw/news/opinion/paper/553893,2012-01-13,Liberal Times
我還想養老 我不笨,https://news.ltn.com.tw/news/opinion/paper/553892,2012-01-13,Liberal Times
不要換第一夫人 乾脆女人當總統,https://news.ltn.com.tw/news/opinion/paper/553888,2012-01-13,Liberal Times
台灣未來 不能賣 蔡籲選民 不要投買票的政黨、候選人,https://news.ltn.com.tw/news/focus/paper/553887,2012-01-13,Liberal Times
補助分藍綠 農委會被控變相賄選,https://news.ltn.com.tw/news/politics/paper/553881,2012-01-13,Liberal Times
馬陷苦戰 美媒：貧富差距擴大,https://news.ltn.com.tw/news/politics/paper/553880,2012-01-13,Liberal Times
周美青拜票 攤商嗆,https://news.ltn.com.tw/news/politics/paper/553877,2012-01-13,Liberal Times
