titles,links,content,time,media
【 更 新 】 吳 敦 義 南 投 助 選 　 犀 利 諷 小 英,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776059/,（更新：新增影片）南投立委選前之夜，副總統吳敦義夫婦力挺國民黨第二選區（濁水線）候選人許淑華，傍晚5點半先由吳敦義妻子蔡...,2016-01-15,Apple Daily
【 法 廣 R F I 】 台 灣 大 選   陸 以 5 - 2 0 劃 線 “ 走 着 瞧 ”,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776142/,本內容由法廣中文部提供法廣【要聞解說】專欄  : 台灣2016大選周五進入藍綠大拚場的最後關頭熱鬧非...,2016-01-15,Apple Daily
【 藍 晚 會 】 周 美 青 抱 抱 朱 立 倫 　 選 前 之 夜 掀 高 潮,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776071/,國民黨總統候選人朱立倫選前之夜從台中趕到新北，和總統馬英九交錯壓場，總統夫人周美青意外現身，一上台就和朱立倫、高婉倩深深...,2016-01-15,Apple Daily
【 選 前 之 夜 】 蔡 英 文 ： 改 變 台 灣 1 票 不 能 少 ！ 　 朱 立 倫 ： 找 回 中 道 力 量 ！,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776064/,總統選舉進入關鍵時刻，藍綠昨在雙北舉行造勢晚會，國民黨總統候選人朱立倫在新北板橋第一運動場造勢晚會上，光是大進場，就因支...,2016-01-15,Apple Daily
蕭 美 琴 對 戰 王 廷 升 　 支 持 者 高 唱 「 無 敵 鐵 金 剛 」,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776045/,選前最後衝刺！民進黨花蓮立委候選人蕭美琴在父親蕭清芬及支持者擁護下，傍晚從花蓮市中山路競選總部出發，沿鬧區金三角徒步掃街...,2016-01-15,Apple Daily
【 藍 晚 會 】 ​ 台 中 冒 雨 造 勢 　 朱 立 倫 六 度 喊 出 來 投 票,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776014/,選前之夜第一站，國民黨總統候選人朱立倫南下台中，冒雨和支持者一一握手擊掌，他在致辭時六度高喊「一定要出來投票」，投給台灣...,2016-01-15,Apple Daily
國 民 黨 晚 會 馬 總 統 自 我 檢 討 　 強 調 朱 會 做 得 更 好,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776051/,在台中舉行的國民黨「台灣就是力量」造勢晚會，總統馬英九以感性的口吻表示，這8年來非常感謝大家選他當總統，是他這一輩子最大...,2016-01-15,Apple Daily
【 藍 晚 會 】 馬 總 統 打 政 績 牌 　 鞠 躬 8 秒 懇 求 票 投 朱 立 倫,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775927/,（新增：馬英九鞠躬影片、連戰談話、洪秀柱談話）國民黨今晚在新北市舉行選情之夜，總統馬英九率先登場，他在台上細數8年來政績...,2016-01-15,Apple Daily
【 橘 晚 會 】 宋 楚 瑜 選 前 之 夜 　 女 兒 宋 鎮 邁 溫 馨 挺 父,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775999/,親民黨總統候選人宋楚瑜今天在台北田徑場舉辦選前之夜，主辦單位喊出湧入上萬人，晚會邀請青年代表、海外代表致詞，力挺宋楚瑜。...,2016-01-15,Apple Daily
【 選 前 之 夜 】 藍 綠 大 尬 場 　 選 民 不 畏 風 雨 擠 爆 造 勢 會 場,https://www.appledaily.com.tw/realtimenews/article/new/20160115/776016/,（更新：增加影片）總統大選投票明天登場，藍綠兩陣營，在雙北舉行造勢晚會，儘管今晚台北陰雨綿綿，但現場仍湧入數萬名支持群眾...,2016-01-15,Apple Daily
國 民 黨 台 中 大 團 結 　 3 萬 支 持 者 冒 雨 挺 朱 立 倫,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775889/,選前之夜，國民黨總統候選人朱立倫串連北中，把握選戰最後一個夜晚，7點半先到台中參加「團結就是力量—台中團結之...,2016-01-15,Apple Daily
【 更 新 】 A 濫 K U S O 告 白 　 徐 巧 芯 這 樣 回 . . . . . .,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775263/,（更新：朱立倫競選總部發言人李正皓發文力挺徐巧芯）知名部落客「A濫」林雅強近來不斷在自己的臉書以及徐巧芯（朱立倫競選辦公...,2016-01-15,Apple Daily
【 大 選 衝 刺 】 北 中 晚 會 連 線 造 勢 　 馬 英 九 朱 立 倫 分 頭 壓 軸,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775730/,（更新：增加影片）明天就是投票日，國民黨總統候選人朱立倫把握選戰最後一個夜晚，馬不停蹄，今晚7點半將先到台中參加「團結就...,2016-01-15,Apple Daily
【 法 廣 R F I 】   選 前 夜 台 灣 兩 大 政 黨 造 勢 晚 會 大 拚 場,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775909/,本內容由法廣中文部提供今天是台灣總統立委選舉競選活動的最後一天，朱立倫和蔡英文白天都密集沿街遊行拜票，晚上的「選前之夜」...,2016-01-15,Apple Daily
【 台 灣 英 文 新 聞 】 快 停 手 ！ 國 民 黨 板 橋 造 勢 百 張 椅 強 壓 草 坪,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775849/,本內容由台灣英文新聞提供民眾投訴，中國國民黨今（15）日晚間的造勢晚會擺放數百張椅子在草坪上，無視脆弱草坪禁不起「萬人」...,2016-01-15,Apple Daily
【 大 選 衝 刺 】 新 北 凱 道 雙 城 造 勢 　 1 0 萬 人 潮 挺 蔡 英 文,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775727/,（更新：增加影片）民進黨總統候選人蔡英文在選前24小時，從台中出發，並以「最後這一里，不能沒有你」進行最後催票，一路從台...,2016-01-15,Apple Daily
【 大 選 衝 刺 】 宋 楚 瑜 台 北 田 徑 場 造 勢 晚 會 登 場 　 要 「 宋 進 總 統 府 」,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775721/,總統大選競選活動今晚十點結束，選戰進入倒數計時，親民黨總統候選人宋楚瑜下午結束彰化掃街行程後，立即趕回台北巿，晚上6點半...,2016-01-15,Apple Daily
國 民 黨 選 前 之 夜 造 勢 晚 會 - 新 北 場     【 蘋 果 L i v e 】 1 8 : 3 0 全 程 直 播,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775548/,總統大選前夕關鍵時刻！各黨候選人都將在選前之夜進行最後衝刺催票。國民黨總統候選人朱立倫將於今日掃街拜票後，連趕往新北市與...,2016-01-15,Apple Daily
不 滿 遭 抹 黑 　 金 門 綠 營 選 將 禁 食 抗 議,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775608/,金門縣立委出現參選爆炸，共有8位候選人競逐1席立委席次，隨著選戰白熱化，國民黨候選人楊鎮浯、民進黨候選人陳滄江及新黨候選...,2016-01-15,Apple Daily
【 有 片 】 三 黨 總 統 候 選 人 掃 街 衝 刺 　 今 晚 雙 北 尬 場,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775379/,總統大選進入倒數關鍵時刻，三黨總統候選人今把握選戰最後時刻掃街衝刺，選前之夜造勢晚會也都選在雙北尬場，強力催票。國民黨候...,2016-01-15,Apple Daily
誰 勝 誰 敗 ？ 　 郝 龍 斌 V S 蔡 適 應 大 車 拚,https://www.appledaily.com.tw/realtimenews/article/new/20160115/775579/,基隆立委選區，由國民黨郝龍斌與民進黨蔡適應競爭最為激烈，蔡適應陣營選前發出夾報文宣，痛批郝「騙完台北騙基隆，郝呼攏」，文...,2016-01-15,Apple Daily
