titles,links,time,media
怒控國民黨栽贓抹黑 陳滄江夜入縣警局,https://news.ltn.com.tw/news/politics/breakingnews/1572859,2016-01-14,Liberal Times
看藍營廣告 名嘴：憂慮、鬱卒…給人不光榮感,https://news.ltn.com.tw/news/politics/breakingnews/1572499,2016-01-14,Liberal Times
國民黨表態力挺周子瑜 黃安崩潰暴走起內鬨,https://news.ltn.com.tw/news/entertainment/breakingnews/1572789,2016-01-14,Liberal Times
柯文哲造勢吃麵線 民眾擠爆、員工站上桌,https://news.ltn.com.tw/news/politics/breakingnews/1572801,2016-01-14,Liberal Times
趙少康：國民黨立委不可能過半,https://news.ltn.com.tw/news/politics/breakingnews/1572646,2016-01-14,Liberal Times
張肇良痛批朱立倫 沒有治國經濟能力,https://news.ltn.com.tw/news/politics/breakingnews/1572692,2016-01-14,Liberal Times
小黨拉票出奇招 打造非典型選前之夜,https://news.ltn.com.tw/news/politics/breakingnews/1572686,2016-01-14,Liberal Times
洪秀柱挺楊瓊瓔 批洪慈庸「拜錯師傅」,https://news.ltn.com.tw/news/politics/breakingnews/1572651,2016-01-14,Liberal Times
選前最後一天 台南藍綠陣營精銳盡出,https://news.ltn.com.tw/news/politics/breakingnews/1572649,2016-01-14,Liberal Times
謝長廷也挺周子瑜 批黃安很殘酷,https://news.ltn.com.tw/news/politics/breakingnews/1572630,2016-01-14,Liberal Times
小英車隊橫掃台中 沿途民眾熱烈歡迎,https://news.ltn.com.tw/news/politics/breakingnews/1572548,2016-01-14,Liberal Times
柯P夜騎踩朱地盤 板橋力挺羅致政、張宏陸,https://news.ltn.com.tw/news/politics/breakingnews/1572502,2016-01-14,Liberal Times
被指違反行政中立 朱立倫：假的不需要回應,https://news.ltn.com.tw/news/politics/breakingnews/1572536,2016-01-14,Liberal Times
朱立倫回防新北 稱夫人比他受歡迎,https://news.ltn.com.tw/news/politics/breakingnews/1572498,2016-01-14,Liberal Times
獻飛吻催票 洪秀柱：若不投票我心更淌血,https://news.ltn.com.tw/news/politics/breakingnews/1572454,2016-01-14,Liberal Times
中華民國又要亡了？ 戴伯特：這次是聖戰,https://news.ltn.com.tw/news/politics/breakingnews/1572413,2016-01-14,Liberal Times
馬吳洪同台造勢 吳敦義：若綠贏仍要投藍委,https://news.ltn.com.tw/news/politics/breakingnews/1572309,2016-01-14,Liberal Times
大選倒數四黨強打廣告 只有國民黨在「罵人」,https://news.ltn.com.tw/news/politics/breakingnews/1572262,2016-01-14,Liberal Times
稱朱立倫「接我棒子的」 柱姐催票：不為張三李四,https://news.ltn.com.tw/news/politics/breakingnews/1572343,2016-01-14,Liberal Times
民進黨全力催票 宜蘭選前之夜大掃街,https://news.ltn.com.tw/news/politics/breakingnews/1572270,2016-01-14,Liberal Times
國民黨公開表態 支持周子瑜！,https://news.ltn.com.tw/news/politics/breakingnews/1572176,2016-01-14,Liberal Times
我就是他的「暖暖包」 高婉倩陪朱掃街放閃,https://news.ltn.com.tw/news/politics/breakingnews/1572229,2016-01-14,Liberal Times
「某人」尋求白狼保護 周玉蔻大嗆「小孬孬」,https://news.ltn.com.tw/news/politics/breakingnews/1572237,2016-01-14,Liberal Times
名嘴爆朱選前之夜動員公僕 新北市府：抹黑,https://news.ltn.com.tw/news/politics/breakingnews/1572157,2016-01-14,Liberal Times
總統大選不好看？ 他認為「這個人」選後最有戲！,https://news.ltn.com.tw/news/politics/breakingnews/1572188,2016-01-14,Liberal Times
朱立倫籲海外支持者  心中帶著國旗投票,https://news.ltn.com.tw/news/politics/breakingnews/1572137,2016-01-14,Liberal Times
朱立倫未踏進宜蘭一步  宋楚瑜：國民黨自知宜蘭沒機會,https://news.ltn.com.tw/news/politics/breakingnews/1572153,2016-01-14,Liberal Times
「支持朱立倫、就是支持馬英九」新北看板受囑目,https://news.ltn.com.tw/news/politics/breakingnews/1572098,2016-01-14,Liberal Times
總統左右手不分  胡志強拍馬右手糾正,https://news.ltn.com.tw/news/politics/breakingnews/1572015,2016-01-14,Liberal Times
最後衝刺 朱立倫、高婉倩首度合體車隊掃街,https://news.ltn.com.tw/news/politics/breakingnews/1572061,2016-01-14,Liberal Times
不滿陳其邁獲悉案情 邱毅：下午控告特偵組洩密,https://news.ltn.com.tw/news/politics/breakingnews/1572010,2016-01-14,Liberal Times
朱立倫遭控違反行政中立 新北市府：造假、抹黑,https://news.ltn.com.tw/news/politics/breakingnews/1571994,2016-01-14,Liberal Times
民國黨公開三不原則 還邀宋楚瑜簽署,https://news.ltn.com.tw/news/politics/breakingnews/1571965,2016-01-14,Liberal Times
政黨各大報廣告比一比！網友：噓負面文宣,https://news.ltn.com.tw/news/politics/breakingnews/1571822,2016-01-14,Liberal Times
遭控餐會發現金  羅致政提告李婉鈺,https://news.ltn.com.tw/news/politics/breakingnews/1571960,2016-01-14,Liberal Times
「正毅」控收非法獻金 小英：國民黨山窮水盡？,https://news.ltn.com.tw/news/politics/breakingnews/1571944,2016-01-14,Liberal Times
自由開講》黨產歸零：朱立倫還來得及的事,https://news.ltn.com.tw/news/opinion/breakingnews/1571926,2016-01-14,Liberal Times
透過區長、局處動員？ 綠控朱立倫、新北市府違反行政中立,https://news.ltn.com.tw/news/politics/breakingnews/1571821,2016-01-14,Liberal Times
地下簽賭站疑涉選舉賭盤  阿文、阿桃當代號,https://news.ltn.com.tw/news/society/breakingnews/1571838,2016-01-14,Liberal Times
kuso選舉公報恐入獄 A濫林雅強都是為了「她」,https://news.ltn.com.tw/news/politics/breakingnews/1571767,2016-01-14,Liberal Times
選後誰組閣？民調：55％盼毛揆看守至馬任期結束,https://news.ltn.com.tw/news/politics/breakingnews/1571785,2016-01-14,Liberal Times
選前喊話  馬英九：不投國民黨會陷入不確定狀態,https://news.ltn.com.tw/news/politics/breakingnews/1571766,2016-01-14,Liberal Times
國民黨選前懇託會 大老齊聚打「恐嚇牌」,https://news.ltn.com.tw/news/politics/breakingnews/1571702,2016-01-14,Liberal Times
國民黨大咖打「恐嚇牌」 搶救選情爆粗口,https://news.ltn.com.tw/news/politics/breakingnews/1571755,2016-01-14,Liberal Times
說這句話會被朱立倫告誹謗？ 陳其邁：快逃！,https://news.ltn.com.tw/news/politics/breakingnews/1571701,2016-01-14,Liberal Times
里長餐會發「朱動員費」？李婉鈺：不論誰發錢一定檢舉,https://news.ltn.com.tw/news/politics/breakingnews/1571703,2016-01-14,Liberal Times
不能見到政黨輪替之日…「屏東阿公」仙逝,https://news.ltn.com.tw/news/politics/breakingnews/1571699,2016-01-14,Liberal Times
台灣總統大選  日媒：蔡英文獲大多年輕人支持,https://news.ltn.com.tw/news/politics/breakingnews/1571663,2016-01-14,Liberal Times
吳敦義來站台 謝龍介捧藍批綠,https://news.ltn.com.tw/news/local/paper/949151,2016-01-14,Liberal Times
蔡金晏變謝金燕 洪秀柱口誤有笑果,https://news.ltn.com.tw/news/local/paper/949133,2016-01-14,Liberal Times
固故鄉票 朱立倫狂掃七行政區,https://news.ltn.com.tw/news/local/paper/948967,2016-01-14,Liberal Times
夾道歡迎 蔡英文拜票民眾熱情,https://news.ltn.com.tw/news/local/paper/948966,2016-01-14,Liberal Times
馬回鍋黨主席？ 府：無此可能,https://news.ltn.com.tw/news/focus/paper/949219,2016-01-14,Liberal Times
爭藍軍正統 朱宋搶打經國牌,https://news.ltn.com.tw/news/focus/paper/949217,2016-01-14,Liberal Times
邱毅控蔡收黃芳彥獻金 民進黨提告,https://news.ltn.com.tw/news/politics/paper/949192,2016-01-14,Liberal Times
蔡英文︰盼兩岸經濟往來正常化,https://news.ltn.com.tw/news/politics/paper/949186,2016-01-14,Liberal Times
外籍觀選團來台：民進黨會贏,https://news.ltn.com.tw/news/local/paper/949136,2016-01-14,Liberal Times
朱桃園掃街 朱爸爸相迎：有對到眼,https://news.ltn.com.tw/news/focus/paper/949112,2016-01-14,Liberal Times
決戰48小時》蔡一路北征 朱回防雙北,https://news.ltn.com.tw/news/focus/paper/949110,2016-01-14,Liberal Times
自由廣場》屈從九二共識，人人變成李波,https://news.ltn.com.tw/news/opinion/paper/949066,2016-01-14,Liberal Times
自由廣場》馬英九回任主席？ 很可能！,https://news.ltn.com.tw/news/opinion/paper/949064,2016-01-14,Liberal Times
王金平來助陣 盧嘉辰沿街請託,https://news.ltn.com.tw/news/local/paper/949024,2016-01-14,Liberal Times
李婉鈺控里長餐會買票 羅致政：栽贓,https://news.ltn.com.tw/news/local/paper/949022,2016-01-14,Liberal Times
〈台股青紅燈〉再見了？ 倫飛！,https://news.ltn.com.tw/news/business/paper/948844,2016-01-14,Liberal Times
朱辦發言人：選舉太多意料之外 周玉蔻打臉,https://news.ltn.com.tw/news/politics/breakingnews/1571467,2016-01-13,Liberal Times
李婉鈺爆料意外扯「朱動員費」 徐巧芯：歡迎檢舉,https://news.ltn.com.tw/news/politics/breakingnews/1571530,2016-01-13,Liberal Times
選前兩天催票 馬英九親上陣籲泛藍大團結,https://news.ltn.com.tw/news/politics/breakingnews/1571395,2016-01-13,Liberal Times
以經國先生遺風自勉 朱立倫：完成不可能的任務,https://news.ltn.com.tw/news/politics/breakingnews/1571275,2016-01-13,Liberal Times
拉抬張顯耀 吳敦義洪秀柱高喊制衡「空心菜」,https://news.ltn.com.tw/news/politics/breakingnews/1571396,2016-01-13,Liberal Times
吳育昇強烈感受 藍軍回來了,https://news.ltn.com.tw/news/politics/breakingnews/1571309,2016-01-13,Liberal Times
批小英「空話、模糊」 朱：清醒的人都不會被催眠,https://news.ltn.com.tw/news/politics/breakingnews/1571246,2016-01-13,Liberal Times
台灣大選觀選團：這次民進黨會贏！,https://news.ltn.com.tw/news/politics/breakingnews/1571211,2016-01-13,Liberal Times
葉宜津高喊搶救政黨票 陳威仁力挺黃瑞坤,https://news.ltn.com.tw/news/politics/breakingnews/1571238,2016-01-13,Liberal Times
繼換柱後選前又換將？國民黨總統候選人竟換他做…,https://news.ltn.com.tw/news/politics/breakingnews/1571253,2016-01-13,Liberal Times
抄襲小英名言？ 朱立倫嗆：清醒的人不會被她催眠,https://news.ltn.com.tw/news/politics/breakingnews/1571216,2016-01-13,Liberal Times
高婉倩黃昏市場拜票 熱情民眾送上鳳梨、包子,https://news.ltn.com.tw/news/politics/breakingnews/1571266,2016-01-13,Liberal Times
蔡金晏叫成謝金燕 柱柱姐輔選笑果十足,https://news.ltn.com.tw/news/politics/breakingnews/1571181,2016-01-13,Liberal Times
馬英九回鍋黨主席？謝長廷這樣說.....,https://news.ltn.com.tw/news/politics/breakingnews/1571098,2016-01-13,Liberal Times
集資破關！《美麗島風雲》將登「KMT真心話」廣告,https://news.ltn.com.tw/news/politics/breakingnews/1570979,2016-01-13,Liberal Times
李婉鈺爆綠疑賄選  結果是「朱立倫的動員費」,https://news.ltn.com.tw/news/politics/breakingnews/1571032,2016-01-13,Liberal Times
宋批蔡兩岸政策「神仙難救」小英：他答案被設計的,https://news.ltn.com.tw/news/politics/breakingnews/1571008,2016-01-13,Liberal Times
藍也推候選人大頭貼 國旗讓網友喊「黃安快看」,https://news.ltn.com.tw/news/politics/breakingnews/1570921,2016-01-13,Liberal Times
藍營新廣告被酸  網友：支持KMT很丟臉、別說喔？,https://news.ltn.com.tw/news/politics/breakingnews/1570758,2016-01-13,Liberal Times
透視北京》北京在選前射出「陸客中轉」、「貨貿協議」與「互設機構」三箭，讓國民黨的恐嚇牌破功,https://news.ltn.com.tw/news/opinion/breakingnews/1570603,2016-01-13,Liberal Times
引美前國防部長談話   黃復興籲票投國民黨,https://news.ltn.com.tw/news/politics/breakingnews/1570852,2016-01-13,Liberal Times
柯P一日北高被質疑 人渣文本：錯誤百出的懷疑論,https://news.ltn.com.tw/news/politics/breakingnews/1570847,2016-01-13,Liberal Times
就靠這招？ 朱立倫一句話透露「勝選關鍵」,https://news.ltn.com.tw/news/politics/breakingnews/1570812,2016-01-13,Liberal Times
王如玄雲林拜票 張家班、吳威志都到場,https://news.ltn.com.tw/news/politics/breakingnews/1570837,2016-01-13,Liberal Times
批小英打模糊戰 朱立倫：讓美友人非常擔心,https://news.ltn.com.tw/news/politics/breakingnews/1570811,2016-01-13,Liberal Times
馬將回鍋再選黨主席？王金平連說10幾次「沒有」,https://news.ltn.com.tw/news/politics/breakingnews/1570701,2016-01-13,Liberal Times
藍委提3絕招救選情... 要朱當「自我閹割」的總統,https://news.ltn.com.tw/news/politics/breakingnews/1570554,2016-01-13,Liberal Times
蘭嶼部落團體痛斥總統候選人漠視核廢政策,https://news.ltn.com.tw/news/politics/breakingnews/1570647,2016-01-13,Liberal Times
馬總統將回鍋黨主席？ 府方：不可能,https://news.ltn.com.tw/news/politics/breakingnews/1570634,2016-01-13,Liberal Times
「誰變綠？」宋楚瑜扯馬英九、郝龍斌 ,https://news.ltn.com.tw/news/politics/breakingnews/1570639,2016-01-13,Liberal Times
馬英九回任黨魁？朱立倫末正面回應,https://news.ltn.com.tw/news/politics/breakingnews/1570646,2016-01-13,Liberal Times
鞏固故鄉選票 朱立倫在桃園車隊掃街,https://news.ltn.com.tw/news/politics/breakingnews/1570627,2016-01-13,Liberal Times
朱立倫：秉持經國先生精神 奮戰到底,https://news.ltn.com.tw/news/politics/breakingnews/1570602,2016-01-13,Liberal Times
朱立倫放閃 高婉倩隔空傳愛「一起努力唷！」,https://news.ltn.com.tw/news/politics/breakingnews/1570590,2016-01-13,Liberal Times
「正毅兄弟」烏龍爆料 民進黨今早追加提告,https://news.ltn.com.tw/news/politics/breakingnews/1570575,2016-01-13,Liberal Times
郝龍斌「夫人牌」出動 攤商贈菜頭祝福,https://news.ltn.com.tw/news/politics/breakingnews/1570558,2016-01-13,Liberal Times
評黃安瘋狂舉報 他問台灣人「你真的相信一中各表？」,https://news.ltn.com.tw/news/politics/breakingnews/1570502,2016-01-13,Liberal Times
選戰倒數第3天 國民黨打「中華民國牌」催票,https://news.ltn.com.tw/news/politics/breakingnews/1570528,2016-01-13,Liberal Times
評3黨性別政見 婦女新知：失望,https://news.ltn.com.tw/news/politics/breakingnews/1570548,2016-01-13,Liberal Times
全面真軍》選後民進黨提前組閣？這著棋真正的目的是什麼？,https://news.ltn.com.tw/news/opinion/breakingnews/1570020,2016-01-13,Liberal Times
選戰衝刺 陳建仁、高婉倩、徐欣瑩陪掃街,https://news.ltn.com.tw/news/local/paper/948652,2016-01-13,Liberal Times
【用選票改變台灣的未來】三選將籲年輕人返鄉 週六投票,https://news.ltn.com.tw/news/local/paper/948623,2016-01-13,Liberal Times
【選戰倒數 藍綠海線拚人氣】《國民黨》王如玄喊衝 陪顏秋月車隊掃街,https://news.ltn.com.tw/news/local/paper/948622,2016-01-13,Liberal Times
英、倫車拚彰化 陳立宏感性催票,https://news.ltn.com.tw/news/local/paper/948613,2016-01-13,Liberal Times
18陣營搶食 政黨票分裂嚴重,https://news.ltn.com.tw/news/local/paper/948751,2016-01-13,Liberal Times
「老市長」李乾龍 進小巷地毯式拜票,https://news.ltn.com.tw/news/local/paper/948748,2016-01-13,Liberal Times
《立委選戰場邊觀察5-5》以「客」為尊 綠拔樁藍固本,https://news.ltn.com.tw/news/local/paper/948655,2016-01-13,Liberal Times
黃偉哲、黃耀盛 全力掃街催票,https://news.ltn.com.tw/news/local/paper/948816,2016-01-13,Liberal Times
張國鑫生日許願當選 馬文君三鄉鎮掃街,https://news.ltn.com.tw/news/local/paper/948619,2016-01-13,Liberal Times
自由廣場》「最高共識」的投票策略,https://news.ltn.com.tw/news/opinion/paper/948714,2016-01-13,Liberal Times
對中政策 蔡：溝通再溝通,https://news.ltn.com.tw/news/focus/paper/948730,2016-01-13,Liberal Times
決戰中台灣 蔡朱大「車」拚,https://news.ltn.com.tw/news/focus/paper/948729,2016-01-13,Liberal Times
當選後 蔡：藍營縣市一樣照顧 包括新北,https://news.ltn.com.tw/news/focus/paper/948728,2016-01-13,Liberal Times
處理兩岸關係 宋自認是最佳人選,https://news.ltn.com.tw/news/focus/paper/948724,2016-01-13,Liberal Times
搶藍軍正統 國親全面開戰,https://news.ltn.com.tw/news/focus/paper/948723,2016-01-13,Liberal Times
《TAIPEI TIMES 焦點》 Tsai repeats call for her followers not to split votes,https://news.ltn.com.tw/news/focus/breakingnews/1570295,2016-01-13,Liberal Times
"《TAIPEI TIMES 焦點》 Cling to your faith, Chu urges voters",https://news.ltn.com.tw/news/focus/breakingnews/1570294,2016-01-13,Liberal Times
《TAIPEI TIMES 焦點》 Soong says he will not be Tsai’s China envoy,https://news.ltn.com.tw/news/focus/breakingnews/1570291,2016-01-13,Liberal Times
