titles,links,time,media
1.選戰倒數 造勢搶票 火力全開,https://udn.com/ndapp/Story?no=1&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251519,2016-01-14,UDN
2.藍控蕭美琴誣告,https://udn.com/ndapp/Story?no=2&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251512,2016-01-14,UDN
3.綠橘副手站台 藍在地人士作陪,https://udn.com/ndapp/Story?no=3&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251500,2016-01-14,UDN
4.選將上街 不怕天冷 只怕選情冷,https://udn.com/ndapp/Story?no=4&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251621,2016-01-14,UDN
5.江啟臣發文宣 謝志忠迎華僑,https://udn.com/ndapp/Story?no=5&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251618,2016-01-14,UDN
6.倒數兩天 候選人催票也「催淚」,https://udn.com/ndapp/Story?no=6&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251604,2016-01-14,UDN
7.大咖助陣 柱喊謝金燕 花媽挺管媽,https://udn.com/ndapp/Story?no=7&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251559,2016-01-14,UDN
8.藍打「農委會主委牌」 綠農會陪掃街,https://udn.com/ndapp/Story?no=8&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251541,2016-01-14,UDN
9.反賄選、籲投票… 用力喊給選民聽,https://udn.com/ndapp/Story?no=9&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251509,2016-01-14,UDN
10.黃芳彥獻金 檢舉人提告 民進黨反控,https://udn.com/ndapp/Story?no=10&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251799,2016-01-14,UDN
11.黃芳彥獻金 檢舉人提告 民進黨反控,https://udn.com/ndapp/Story?no=11&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251798,2016-01-14,UDN
12.搶政黨票 藍急打形象牌,https://udn.com/ndapp/Story?no=12&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251740,2016-01-14,UDN
13.綠55－57席,https://udn.com/ndapp/Story?no=13&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251796,2016-01-14,UDN
14.拚了！藍綠大咖合體 朱蔡宋狂掃票,https://udn.com/ndapp/Story?no=14&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTUxMTIzK6TptME8PTIwMTYwMTE0K7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2016-01-14&news_id=8251787,2016-01-14,UDN
