titles,links,time,media
藍軍動員搶救郝龍大斌 陳建仁再陪蔡適應掃街,https://www.chinatimes.com/newspapers/20160115000532-260107,04:102016/01/15,China Times
白宮：無論誰當選 盼兩岸續對話,,12:002016/01/15,China Times
短評－蔡英文的焦慮,https://www.chinatimes.com/newspapers/20160114000459-260109,04:102016/01/14,China Times
名家－美國向蔡英文發出警訊,https://www.chinatimes.com/newspapers/20160114000965-260310,04:102016/01/14,China Times
社評—蔡英文會是另一個陳水扁嗎？,https://www.chinatimes.com/newspapers/20160114000971-260310,04:102016/01/14,China Times
蔡英文：當選立即啟動對外溝通 穩定選後政局,https://www.chinatimes.com/realtimenews/20160114003058-260401,13:012016/01/14,China Times
蔡英文台中掃街 遇兩軍叫陣,https://www.chinatimes.com/realtimenews/20160114005079-260407,20:332016/01/14,China Times
蔡英文：兩天後把台灣贏回來,https://www.chinatimes.com/realtimenews/20160114005485-260407,22:392016/01/14,China Times
選戰倒數48小時 從南到北 蔡英文狂掃10縣市,,04:102016/01/14,China Times
蔡英文台中掃街民眾熱情歡迎 遇兩軍叫陣,https://www.chinatimes.com/realtimenews/20160114005274-260407,21:262016/01/14,China Times
選戰倒數 林佳龍、蔡英文聯合大車掃,https://www.chinatimes.com/realtimenews/20160114005179-260407,20:472016/01/14,China Times
遭爆收黃芳彥4.5億 蔡英文：藍不反省用選票讓它下台,https://www.chinatimes.com/realtimenews/20160114002905-260407,11:482016/01/14,China Times
選前臉書催票 蔡英文籲支持者用選票寫下歷史,https://www.chinatimes.com/realtimenews/20160114004224-260407,17:172016/01/14,China Times
嗆蔡英文政策不明確 財經最重要是風險管理 曾銘宗：兩岸不確定 經濟難穩定,https://www.chinatimes.com/newspapers/20160114000070-260202,04:102016/01/14,China Times
高中職全面免試 小英有把握？,https://www.chinatimes.com/newspapers/20160114000461-260109,04:102016/01/14,China Times
蔡英文空談溝通 兩岸學者憂協商中斷,https://www.chinatimes.com/newspapers/20160114000841-260301,04:102016/01/14,China Times
小英趕場掃街 巧遇王如玄車隊,https://www.chinatimes.com/realtimenews/20160114004799-260407,20:132016/01/14,China Times
小英車隊掃街展勝選氣勢 民眾夾道揮手,https://www.chinatimes.com/realtimenews/20160114003703-260407,15:052016/01/14,China Times
張廖萬堅及黃國書打主席牌 蔡錦隆在地議員挺,https://www.chinatimes.com/realtimenews/20160114005105-260407,20:192016/01/14,China Times
柯P指總統閃不掉九二共識... 蔡：柯市長肯定我能處理,https://www.chinatimes.com/newspapers/20160114000072-260202,04:102016/01/14,China Times
柱姐拉票 蔡金晏說成謝金燕／賴神掃街 三鳳宮前力挺管媽,https://www.chinatimes.com/newspapers/20160114000561-260107,04:102016/01/14,China Times
新住民4提問 朱回應具體 蔡空洞 宋自說自話,https://www.chinatimes.com/realtimenews/20160114003503-260407,14:322016/01/14,China Times
等不到政黨輪替 「枋寮阿公」謝榮欣走了,https://www.chinatimes.com/realtimenews/20160114005068-260405,20:052016/01/14,China Times
高雄造勢晚會 朱立倫痛批小英：為政權出賣台灣人健康,https://www.chinatimes.com/realtimenews/20160114005445-260407,22:212016/01/14,China Times
政治獻金案 證人反告小英,https://www.chinatimes.com/newspapers/20160114000073-260202,04:102016/01/14,China Times
楊泰順：時代力量年輕急獨 不會妥協,https://www.chinatimes.com/realtimenews/20160114002293-260401,09:412016/01/14,China Times
女性出頭天 台灣成兩岸典範,https://www.chinatimes.com/realtimenews/20160114002668-260407,10:482016/01/14,China Times
邱毅爆黃芳彥「壓對了」小英 為了返台 兩次選舉政治獻金給4億？,,04:102016/01/14,China Times
「正義兄弟」赴北檢 控告特偵組洩密,https://www.chinatimes.com/realtimenews/20160114004456-260402,17:112016/01/14,China Times
蔡錦隆展現大團結 張廖萬堅勤掃街,https://www.chinatimes.com/newspapers/20160114000554-260107,04:102016/01/14,China Times
蔡英文：沉默藍軍 期待改變,https://www.chinatimes.com/realtimenews/20160113005732-260407,23:322016/01/13,China Times
桃竹苗掃街 蔡英文：比2012年好很多,https://www.chinatimes.com/realtimenews/20160113005563-260407,22:042016/01/13,China Times
蔡英文深入敵營 衝高母雞效應,,04:102016/01/13,China Times
《決戰2016》柯談話 陸學者：對蔡英文構成壓力,https://www.chinatimes.com/newspapers/20160113000803-260301,04:102016/01/13,China Times
蔡英文斥亂說 綠將採法律行動 特偵組：沒錄音帶 未通風報信 ,,04:102016/01/13,China Times
如何應對習近平 蔡英文：溝通、再溝通,https://www.chinatimes.com/newspapers/20160113000078-260203,04:102016/01/13,China Times
黃芳彥4.5億獻金案 證人林秀娟告蔡英文誹謗,https://www.chinatimes.com/realtimenews/20160113003979-260401,15:282016/01/13,China Times
兩岸議題再舌戰 蔡英文：與習必須一再溝通 朱立倫：並非一切只靠溝通,,04:102016/01/13,China Times
朱立倫再批：蔡英文兩岸說不清 讓美國友人擔心,https://www.chinatimes.com/realtimenews/20160113002712-260407,11:222016/01/13,China Times
朱立倫緊咬美豬 轟蔡英文打模糊戰,,04:102016/01/13,China Times
藍批蔡「鷹派」 籲用選票反一黨獨大,https://www.chinatimes.com/realtimenews/20160113004641-260407,17:012016/01/13,China Times
學者質疑蔡：如何與北京「溝通，溝通，再溝通」,https://www.chinatimes.com/realtimenews/20160113005376-260407,21:142016/01/13,China Times
綠若沒政績 20年執政成空話,https://www.chinatimes.com/realtimenews/20160113001197-260401,07:392016/01/13,China Times
《決戰2016》柯P：蔡若當選 不能迴避92共識,https://www.chinatimes.com/newspapers/20160113000800-260301,04:102016/01/13,China Times
小英感性訴求 當選之後只有人民沒藍綠,,04:102016/01/13,China Times
宋楚瑜：蔡兩岸政策 神仙都救不了,,04:102016/01/13,China Times
蔡的兩岸政策 宋楚瑜：神仙也救不了,https://www.chinatimes.com/newspapers/20160113000080-260203,04:102016/01/13,China Times
小英少提中華民國 國民黨質疑立場,https://www.chinatimes.com/realtimenews/20160113002571-260407,10:572016/01/13,China Times
柯P真心話：市長哈拉九二共識 總統不能！,,04:102016/01/13,China Times
《決戰2016》旺報觀點－柯P提醒 值得小英參考,https://www.chinatimes.com/newspapers/20160113000805-260301,04:102016/01/13,China Times
大選倒數3天 世界台商聯盟號召返鄉力挺小英,https://www.chinatimes.com/realtimenews/20160113003239-260407,13:012016/01/13,China Times
《決戰2016》美豬議題發酵 豬農要蔡面對,https://www.chinatimes.com/newspapers/20160113000809-260301,04:102016/01/13,China Times
被指管理扁海外贓款 正毅兄弟：黃芳彥捐4.5億給蔡 3度透過人頭給錢,,04:102016/01/13,China Times
柯P說九二共識不可迴避 蔡：他肯定我有能力處理,https://www.chinatimes.com/realtimenews/20160113003987-260407,15:382016/01/13,China Times
邱毅轟楊偉中窩囊廢 酸朱應讓洪秀柱選,https://www.chinatimes.com/realtimenews/20160113002752-260407,11:272016/01/13,China Times
社論－勝選後組閣是小英該有的承擔,https://www.chinatimes.com/newspapers/20160113000428-260109,04:102016/01/13,China Times
邱毅轉述黃芳彥與林女錄音內容 匯給蔡「九合一壓對了！」,https://www.chinatimes.com/realtimenews/20160113003135-260401,12:352016/01/13,China Times
學者論台灣選後國防建設之挑戰,https://www.chinatimes.com/realtimenews/20160113004926-260417,18:362016/01/13,China Times
民進黨未必能執政20年,https://www.chinatimes.com/newspapers/20160113000432-260109,04:102016/01/13,China Times
投書－民進黨肖想一黨獨大,https://www.chinatimes.com/newspapers/20160113000931-260310,04:102016/01/13,China Times
市長哈拉九二共識 總統不能！,,12:002016/01/13,China Times
「蔡英文單身危險說」郁慕明：蔡上台 兩岸關係必倒退,,04:102016/01/12,China Times
催出每一票 蔡英文雲林掃票 豬農力挺,,04:102016/01/12,China Times
蔡英文南投掃街拜票 強調性別平等、兩岸溝通,https://www.chinatimes.com/realtimenews/20160112003542-260401,13:382016/01/12,China Times
南投助選 蔡英文：對中台灣非常有信心,https://www.chinatimes.com/realtimenews/20160112003137-260407,12:292016/01/12,China Times
若蔡英文當選 選後舉行蔡習會？,https://www.chinatimes.com/realtimenews/20160112003264-260401,12:102016/01/12,China Times
蔡英文：新時代就要來臨 等這天很久了,https://www.chinatimes.com/realtimenews/20160112005572-260407,20:582016/01/12,China Times
正毅兄弟指控收4億獻金 蔡英文反擊：惡質選舉,https://www.chinatimes.com/realtimenews/20160112004017-260401,15:102016/01/12,China Times
蔡英文當選後的2大挑戰 柯文哲：經濟和中國大陸,https://www.chinatimes.com/realtimenews/20160112004445-260407,16:292016/01/12,China Times
正毅兄弟爆：蔡英文三次收黃芳彥政治獻金,https://www.chinatimes.com/realtimenews/20160112003046-260401,11:512016/01/12,China Times
朱立倫下彰化掃街 再批蔡英文美豬政策模糊,https://www.chinatimes.com/realtimenews/20160112003455-260407,13:002016/01/12,China Times
「正毅兄弟」爆蔡英文收政治獻金 民進黨要告,https://www.chinatimes.com/realtimenews/20160112003468-260401,13:152016/01/12,China Times
朱立倫彰化掃街 要蔡英文明確說明美豬主張,https://www.chinatimes.com/realtimenews/20160112003053-260401,12:192016/01/12,China Times
蔡英文收黃芳彥獻金？ 特偵組：根本沒錄音檔,https://www.chinatimes.com/realtimenews/20160112003492-260402,13:162016/01/12,China Times
蔡英文收黃芳彥獻金？特偵組：檢舉欠缺具體內容,https://www.chinatimes.com/realtimenews/20160112004252-260402,15:582016/01/12,China Times
不分區第1名背書 蔡重申「食安五環」,,04:102016/01/12,China Times
宋批蔡兩岸政策不可行 神仙都救不了,https://www.chinatimes.com/realtimenews/20160112003023-260407,12:002016/01/12,China Times
大小綠搶票 「吳念真打吳念真」？,,04:102016/01/12,China Times
邱毅驚爆：蔡英文收受黃芳彥政治獻金約4.5億元,https://www.chinatimes.com/realtimenews/20160112003024-260401,11:342016/01/12,China Times
鈕則勳：藍強打扁牌 恐使綠選票集中,https://www.chinatimes.com/realtimenews/20160112004561-260407,17:012016/01/12,China Times
「空心蔡」虛無縹緲 選後對台經濟必有傷害,https://www.chinatimes.com/realtimenews/20160112001744-260401,07:542016/01/12,China Times
日皇對二戰心痛 李登輝猶感光榮？,https://www.chinatimes.com/realtimenews/20160112001813-260401,08:102016/01/12,China Times
《決戰２０１６》台學者：蔡須謹慎、陸要有耐性,https://www.chinatimes.com/newspapers/20160112000838-260301,04:102016/01/12,China Times
《決戰２０１６》陸學者爆 選後巴拿馬與陸建交,https://www.chinatimes.com/newspapers/20160112000833-260301,04:102016/01/12,China Times
空心蔡選後必現形,https://www.chinatimes.com/newspapers/20160112000472-260109,04:102016/01/12,China Times
立委激戰 莊瑞雄黃昭展互槓,https://www.chinatimes.com/newspapers/20160112000615-260107,04:102016/01/12,China Times
《決戰２０１６》朱喊決戰中台灣 蔡轟藍縱容賄選,https://www.chinatimes.com/newspapers/20160112000844-260301,04:102016/01/12,China Times
遭疑出席少 反酸對手通告王,https://www.chinatimes.com/newspapers/20160112000624-260107,04:102016/01/12,China Times
民進黨政黨票告急,,12:002016/01/12,China Times
