titles,links,time,media
搭高鐵奔波輔選 網友捕獲野生賴清德,https://news.ltn.com.tw/news/politics/breakingnews/1572864,2016/1/14,Liberal Times
怒控國民黨栽贓抹黑 陳滄江夜入縣警局,https://news.ltn.com.tw/news/politics/breakingnews/1572859,2016/1/14,Liberal Times
一級戰區激戰 大仁哥6度輔選吳思瑤,https://news.ltn.com.tw/news/politics/breakingnews/1572575,2016/1/14,Liberal Times
看藍營廣告 名嘴：憂慮、鬱卒…給人不光榮感,https://news.ltn.com.tw/news/politics/breakingnews/1572499,2016/1/14,Liberal Times
「台灣要變天了」 蔡英文：一起迎接新時代,https://news.ltn.com.tw/news/politics/breakingnews/1572818,2016/1/14,Liberal Times
這一席真的不能丟！ 小英大讚柯建銘,https://news.ltn.com.tw/news/politics/breakingnews/1572769,2016/1/14,Liberal Times
小英稱台灣陷水深火熱 馬英九轟失言,https://news.ltn.com.tw/news/politics/breakingnews/1572526,2016/1/14,Liberal Times
小英全力拉抬柯建銘 呼籲選民唾棄賄選,https://news.ltn.com.tw/news/politics/breakingnews/1572761,2016/1/14,Liberal Times
拚國會過半 賴清德：桃園是關鍵,https://news.ltn.com.tw/news/politics/breakingnews/1572754,2016/1/14,Liberal Times
民進黨選前造勢晚會 盼再現桃園奇蹟,https://news.ltn.com.tw/news/politics/breakingnews/1572747,2016/1/14,Liberal Times
張肇良痛批朱立倫 沒有治國經濟能力,https://news.ltn.com.tw/news/politics/breakingnews/1572692,2016/1/14,Liberal Times
小黨拉票出奇招 打造非典型選前之夜,https://news.ltn.com.tw/news/politics/breakingnews/1572686,2016/1/14,Liberal Times
替潘建志站台 柯P唱憨人 台下超捧場,https://news.ltn.com.tw/news/politics/breakingnews/1572697,2016/1/14,Liberal Times
陳賴素美：國民黨鈔票攻勢 人民用選票反擊,https://news.ltn.com.tw/news/politics/breakingnews/1572663,2016/1/14,Liberal Times
洪秀柱挺楊瓊瓔 批洪慈庸「拜錯師傅」,https://news.ltn.com.tw/news/politics/breakingnews/1572651,2016/1/14,Liberal Times
選前最後一天 台南藍綠陣營精銳盡出,https://news.ltn.com.tw/news/politics/breakingnews/1572649,2016/1/14,Liberal Times
鄭運鵬痛批國民黨炒地皮 人民只能炒米粉,https://news.ltn.com.tw/news/politics/breakingnews/1572619,2016/1/14,Liberal Times
說好的錄音檔咧？邱毅：整理需要時間…,https://news.ltn.com.tw/news/society/breakingnews/1572514,2016/1/14,Liberal Times
小英車隊橫掃台中 沿途民眾熱烈歡迎,https://news.ltn.com.tw/news/politics/breakingnews/1572548,2016/1/14,Liberal Times
為何不公布完整錄音檔？ 邱毅：怕林秀娟被辦洩密,https://news.ltn.com.tw/news/society/breakingnews/1572530,2016/1/14,Liberal Times
為了小英遭抹黑 莊瑞雄摃上黃昭展,https://news.ltn.com.tw/news/politics/breakingnews/1572489,2016/1/14,Liberal Times
邱毅的錄音檔案公布了 竟被「剪輯」成4段...,https://news.ltn.com.tw/news/society/breakingnews/1572544,2016/1/14,Liberal Times
台中4萬首投族 何欣純號召青年返鄉,https://news.ltn.com.tw/news/politics/breakingnews/1572435,2016/1/14,Liberal Times
狹路相逢！蔡英文、王如玄彰化掃街不期而遇 結果…,https://news.ltn.com.tw/news/politics/breakingnews/1572452,2016/1/14,Liberal Times
回顧4年前敗選  小英：最後一哩路只差一步,https://news.ltn.com.tw/news/politics/breakingnews/1572300,2016/1/14,Liberal Times
大選倒數四黨強打廣告 只有國民黨在「罵人」,https://news.ltn.com.tw/news/politics/breakingnews/1572262,2016/1/14,Liberal Times
法院誰開的？國民黨：民進黨介入司法 台灣民主之恥,https://news.ltn.com.tw/news/politics/breakingnews/1572322,2016/1/14,Liberal Times
民進黨全力催票 宜蘭選前之夜大掃街,https://news.ltn.com.tw/news/politics/breakingnews/1572270,2016/1/14,Liberal Times
王進士告他「違反選罷法」 鍾佳濱反擊也喊告,https://news.ltn.com.tw/news/society/breakingnews/1572304,2016/1/14,Liberal Times
