,titles,links,time,media
0,【 選 前 之 夜 】 蔡 英 文 南 北 衝 場 返 凱 道 催 票 　 只 有 她 能 守 護 台 灣 民 主 「 再 挺 我 一 次 」,https://tw.appledaily.com/politics/realtime/20200110/1688214/,2020/1/10,Apple Daily
1,【 特 稿 】 不 同 於 韓 國 瑜 狂 罵 民 進 黨 　 蔡 英 文 選 前 之 夜 訴 求 理 性 溫 暖 非 仇 恨,https://tw.appledaily.com/politics/realtime/20200110/1689441/,2020/1/10,Apple Daily
2,「 撐 香 港 」 也 是 選 前 之 夜 訴 求 　 黑 衣 青 年 舉 「 光 復 香 港 」 標 語 挺 蔡 英 文,https://tw.appledaily.com/politics/realtime/20200110/1689440/,2020/1/10,Apple Daily
3,【 選 前 之 夜 】 綠 營 台 中 造 勢 湧 7 萬 人 　 賴 清 德 壓 軸 ！ 斥 韓 國 瑜 葬 送 中 華 民 國,https://tw.appledaily.com/politics/realtime/20200110/1689332/,2020/1/10,Apple Daily
4,【 讓 影 像 說 話 】 「 凱 道 大 拚 場 」 英 韓 誰 勝 ？ 　 《 蘋 果 》 縮 時 影 片 帶 你 看 真 相,https://tw.appledaily.com/politics/realtime/20200110/1689056/,2020/1/10,Apple Daily
5,【 選 戰 觀 察 】 韓 國 瑜 打 蓋 牌 策 略 鞏 固 韓 粉 信 心 　 選 舉 勝 負 讓 人 霧 裡 看 花,https://tw.appledaily.com/politics/realtime/20200110/1689416/,2020/1/10,Apple Daily
6,​ 【 現 場 側 記 】 凱 道 尬 場 蔡 陣 營 不 「 膨 風 」 　 改 用 5 3 萬 線 上 互 動 取 代,https://tw.appledaily.com/politics/realtime/20200110/1689432/,2020/1/10,Apple Daily
7,蔡 英 文 凱 道 晚 會 壓 軸 登 場 　 羅 列 1 3 大 政 績 「 沒 忘 歐 里 桑 的 話 」,https://tw.appledaily.com/politics/realtime/20200110/1689427/,2020/1/10,Apple Daily
8,評 論 家 投 書 《 紐 時 》 ： 蔡 若 連 任 　 要 感 謝 中 國 的 愚 蠢,https://tw.appledaily.com/international/realtime/20200110/1689412/,2020/1/10,Apple Daily
9,C N N ： 台 灣 選 民 最 關 注 兩 岸 關 係,https://tw.appledaily.com/international/realtime/20200110/1689431/,2020/1/10,Apple Daily
10,韓 國 瑜 鎮 守 主 場 高 雄 　 國 民 黨 板 橋 造 勢 少 了 「 韓 粉 味 」,https://tw.appledaily.com/politics/realtime/20200110/1689423/,2020/1/10,Apple Daily
