titles,links,time,media
蔡英文：希望你們再挺我一次,https://www.chinatimes.com/realtimenews/20200110004483-260407,2020/01/10,China Times
蔡英文：支持吳怡農就是支持我,https://www.chinatimes.com/realtimenews/20200110001493-260407,2020/01/10,China Times
陳菊致詞 蔡英文高雄現場喊20萬,https://www.chinatimes.com/realtimenews/20200110003984-260407,2020/01/10,China Times
起風了 有規定一定要支持到死嗎臉書粉專 蔡英文後援會倒戈挺韓,https://www.chinatimes.com/newspapers/20200110000527-260118,2020/01/10,China Times
蔡英文高雄大造勢空拍畫面曝光 網大驚,https://www.chinatimes.com/realtimenews/20200110003876-260407,2020/01/10,China Times
韓辦籲：中華民國派支持韓國瑜 下架蔡英文,https://www.chinatimes.com/realtimenews/20200110001538-260407,2020/01/10,China Times
高雄》韓酸民進黨執政人民不快樂 蔡英文選前之夜回嗆反擊,https://www.chinatimes.com/realtimenews/20200110004232-260407,2020/01/10,China Times
韓造勢變風向！韓黑看出蔡英文急了,https://www.chinatimes.com/realtimenews/20200110001221-260407,2020/01/10,China Times
看到蔡英文凱道選前之夜空拍 綠粉竟哭了,https://www.chinatimes.com/realtimenews/20200110004363-260407,2020/01/10,China Times
選前之夜蔡英文全台趕場 南北造勢拚場韓國瑜！,https://www.chinatimes.com/realtimenews/20200110002003-260407,2020/01/10,China Times
游盈隆：蔡英文「武當派」VS. 韓國瑜「崆峒派」,https://www.chinatimes.com/realtimenews/20200110002548-260407,2020/01/10,China Times
彭蕙仙》愛與包容 從借廁所開始,https://www.chinatimes.com/opinion/20200110004059-262105,2020/01/10,China Times
直播》蔡英文高雄喊話30萬人：政黨票不要分票 民進黨沒分票本錢,https://www.chinatimes.com/realtimenews/20200110003534-260407,2020/01/10,China Times
資深媒體人專欄庶民新時代 VS. 反中綠政權,https://www.chinatimes.com/newspapers/20200110000709-260109,2020/01/10,China Times
凱道造勢太恐怖 1450嚇死：韓用一面旗子幹掉陳其邁、蔡英文！,https://www.chinatimes.com/realtimenews/20200110001201-260407,2020/01/10,China Times
蔡英文今晚凱道造勢 警方公布交管措施,https://www.chinatimes.com/realtimenews/20200110001527-260402,2020/01/10,China Times
七問民進黨 用事實揭穿謊言,https://www.chinatimes.com/newspapers/20200110000210-260310,2020/01/10,China Times
震撼彈！林環牆提2關鍵電郵：蔡2011年偷渡論文未果,https://www.chinatimes.com/realtimenews/20200110001907-260405,2020/01/10,China Times
最後衝刺國民黨小蜜蜂助選 民進黨賴領軍造勢,https://www.chinatimes.com/newspapers/20200110000634-260107,2020/01/10,China Times
國旗潮感動人心藍軍大咖集結 連環轟蔡濫權獨裁,https://www.chinatimes.com/newspapers/20200110000523-260118,2020/01/10,China Times
綠營凱道拚現場也拼網路 回應願意投票人衝過31萬,https://www.chinatimes.com/realtimenews/20200110004157-260407,2020/01/10,China Times
下架民進黨還是縱容威權復辟,https://www.chinatimes.com/newspapers/20200110000206-260310,2020/01/10,China Times
馬連新北輔選 張善政籲大團結,https://www.chinatimes.com/newspapers/20200110000641-260107,2020/01/10,China Times
蔡新北掃街：韓蔡支持者都是一家人,https://www.chinatimes.com/realtimenews/20200110001630-260407,2020/01/10,China Times
蘇嘉全國境之南車掃幫蔡英文、蘇震清拉票,https://www.chinatimes.com/realtimenews/20200110002089-260407,2020/01/10,China Times
韓蔡高雄大拚場誰人氣旺？網民看完竟下這種結論,https://www.chinatimes.com/realtimenews/20200110004133-260407,2020/01/10,China Times
選前之夜最高潮 彭文正：蔡邀他上台一定贏,https://www.chinatimes.com/realtimenews/20200110000071-260407,2020/01/10,China Times
賴清德輔選賴品妤 呼籲選民站出來投票,https://www.chinatimes.com/realtimenews/20200110002881-260407,2020/01/10,China Times
抗議反滲透法 北京台青今早摸黑搭早班機返台投票,https://www.chinatimes.com/realtimenews/20200110001244-260409,2020/01/10,China Times
中時社論：摘下民進黨權力魔戒系列二》下架蔡英文 票一張不能少,https://www.chinatimes.com/opinion/20200110004113-262101,2020/01/10,China Times
醫師開嗜睡藥阻投韓國瑜　蔡正元轟：台灣要這麼黑暗？,https://www.chinatimes.com/realtimenews/20200110003850-260407,2020/01/10,China Times
高雄》光復高雄選前之夜造勢晚會 現場大爆滿塞爆競總廣場,https://www.chinatimes.com/realtimenews/20200110003990-260407,2020/01/10,China Times
最後衝刺 蔡：別低估對手別分散選票,https://www.chinatimes.com/realtimenews/20200110002787-260407,2020/01/10,China Times
民進黨凱道選前之夜 擠滿景福門,https://www.chinatimes.com/realtimenews/20200110003978-260407,2020/01/10,China Times
小英博士論文零引用 魏國彥酸：我不是很懂,https://www.chinatimes.com/realtimenews/20200110001062-260405,2020/01/10,China Times
胡幼偉籲：投票前為韓朗讀,https://www.chinatimes.com/realtimenews/20200110001385-260407,2020/01/10,China Times
決戰24小時禿漢燕合體 藍大團結 百萬庶民挺韓,https://www.chinatimes.com/newspapers/20200110000510-260118,2020/01/10,China Times
奧步！洛杉基猜：今晚民進黨恐怕會用這招打擊韓國瑜,https://www.chinatimes.com/realtimenews/20200110001699-260407,2020/01/10,China Times
