titles,links,time,media
外媒：這一票決定台灣未來走向 牽動美中角力,https://news.ltn.com.tw/news/politics/breakingnews/3036554,2020/1/10 23:46,Liberal Times
選前之夜 柯文哲談選擇民眾黨的理由,https://news.ltn.com.tw/news/politics/breakingnews/3036509,2020/1/10 23:15,Liberal Times
天亮一定要去投票 陳其邁感性催票,https://news.ltn.com.tw/news/politics/breakingnews/3036526,2020/1/10 23:14,Liberal Times
選前最後催票 柯文哲：三黨不過半 台灣重開機,https://news.ltn.com.tw/news/politics/breakingnews/3036516,2020/1/10 23:05,Liberal Times
選前之夜與民主自由同行 鄭宏輝大遊行,https://news.ltn.com.tw/news/politics/breakingnews/3036449,2020/1/10 23:00,Liberal Times
花蓮選前之夜大拚場 蕭美琴熱血向前行,https://news.ltn.com.tw/news/politics/breakingnews/3036524,2020/1/10 23:00,Liberal Times
知識藍含淚歸隊？ 李正皓：沒風骨的叫「軟骨藍」,https://news.ltn.com.tw/news/politics/breakingnews/3036445,2020/1/10 22:45,Liberal Times
台灣隊長小英發任務訊號 「明天投票為世界守住民主堡壘」,https://news.ltn.com.tw/news/politics/breakingnews/3036510,2020/1/10 22:43,Liberal Times
選前之夜 陳歐珀、黃定和宜市掃街拚場,https://news.ltn.com.tw/news/politics/breakingnews/3036434,2020/1/10 22:36,Liberal Times
明天就是投票日！ 館長一句話沸騰網友,https://news.ltn.com.tw/news/politics/breakingnews/3036374,2020/1/10 22:27,Liberal Times
高雄選前之夜稱逾50萬人 韓國瑜：用選票翻轉台灣命運,https://news.ltn.com.tw/news/politics/breakingnews/3036490,2020/1/10 22:21,Liberal Times
小英選前之夜破53萬人 旗海燈海照亮凱道,https://news.ltn.com.tw/news/politics/breakingnews/3036491,2020/1/10 22:14,Liberal Times
不要中國台灣！卓榮泰凱道率全場高喊「沈上將謝謝你」,https://news.ltn.com.tw/news/politics/breakingnews/3036424,2020/1/10 22:09,Liberal Times
飛1.2萬公里回台挺小英 正妹畫家哽咽：怕下次回家人事已非,https://news.ltn.com.tw/news/politics/breakingnews/3036365,2020/1/10 21:59,Liberal Times
林佳龍：蔡正元的記者會是這次選舉最大的奧步,https://news.ltn.com.tw/news/politics/breakingnews/3036359,2020/1/10 21:53,Liberal Times
民進黨支持者擠爆凱道！賴清德：守護中華民國 必先守護台灣,https://news.ltn.com.tw/news/politics/breakingnews/3036467,2020/1/10 21:49,Liberal Times
砲轟九二共識誤民誤國 賴清德：用選票讓台灣贏,https://news.ltn.com.tw/news/politics/breakingnews/3036387,2020/1/10 21:47,Liberal Times
詛咒牌？連勝文：挺小英親友得肺癌別抱怨 網友砲轟,https://news.ltn.com.tw/news/politics/breakingnews/3036110,2020/1/10 21:40,Liberal Times
催票脫口「死韓粉」 余天深深一鞠躬說對不起,https://news.ltn.com.tw/news/politics/breakingnews/3036454,2020/1/10 21:33,Liberal Times
選前之夜 蘇治芬、張嘉郡回大本營掃街固票,https://news.ltn.com.tw/news/politics/breakingnews/3036386,2020/1/10 21:29,Liberal Times
游錫堃「催生」：蔡英文當選 年輕人敢生小孩,https://news.ltn.com.tw/news/politics/breakingnews/3036398,2020/1/10 21:14,Liberal Times
蔡壁如催票：民眾黨若沒150萬票 無法為柯文哲奠基2024,https://news.ltn.com.tw/news/politics/breakingnews/3036421,2020/1/10 21:02,Liberal Times
呼籲大家要去投票！ 波特王再嗆五毛：不懂你們崩潰什麼,https://news.ltn.com.tw/news/politics/breakingnews/3036313,2020/1/10 21:02,Liberal Times
許智傑：讓世界看見台灣贏得漂亮 為高雄人出一口氣,https://news.ltn.com.tw/news/politics/breakingnews/3036382,2020/1/10 20:55,Liberal Times
港媒問韓國瑜明天輸了怎麼辦？韓粉嗆：考慮移民中國,https://news.ltn.com.tw/news/politics/breakingnews/3036340,2020/1/10 20:54,Liberal Times
反擊藍營抹黑分化 綠營大咖站台力挺蘇震清,https://news.ltn.com.tw/news/politics/breakingnews/3036377,2020/1/10 20:53,Liberal Times
嘉義市選前之夜 噴水圓環拚場短兵相接,https://news.ltn.com.tw/news/politics/breakingnews/3036393,2020/1/10 20:48,Liberal Times
