titles,links,time,media
1.扁批過河拆橋 柯文哲：對他不錯,https://udn.com/ndapp/Story?no=1&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501246,2020-01-10,UDN
2.大南方計畫 張善政批蔡：撒錢,https://udn.com/ndapp/Story?no=2&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501252,2020-01-10,UDN
3.選前之夜 藍綠重兵板橋大拚場,https://udn.com/ndapp/Story?no=3&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501282,2020-01-10,UDN
4.大咖助陣 北市藍綠陸空催票,https://udn.com/ndapp/Story?no=4&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501277,2020-01-10,UDN
5.山原立委搶票 屏東隊vs.排灣隊,https://udn.com/ndapp/Story?no=5&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501274,2020-01-10,UDN
6.衝票拚勝選 政治 大咖齊聚桃園,https://udn.com/ndapp/Story?no=6&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501268,2020-01-10,UDN
7.選情緊繃都告急 選將紛喊搶救,https://udn.com/ndapp/Story?no=7&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501265,2020-01-10,UDN
8.凱道爆人潮…韓選情起風了？,https://udn.com/ndapp/Story?no=8&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501424,2020-01-10,UDN
9.藍大團結：最大黨叫討厭民進黨,https://udn.com/ndapp/Story?no=9&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501417,2020-01-10,UDN
10.趙少康催知識藍、經濟藍挺韓,https://udn.com/ndapp/Story?no=10&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501419,2020-01-10,UDN
