titles,links,time,media
【 蘋 果 查 真 相 】 韓 國 瑜 高 雄 原 地 造 勢 　 專 家 打 臉 ！ 人 潮 膨 風 3 倍,https://tw.appledaily.com/politics/realtime/20200110/1689401/,2020/1/10,Apple Daily
【 選 前 之 夜 】 蔡 英 文 南 北 衝 場 返 凱 道 催 票 　 只 有 她 能 守 護 台 灣 民 主 「 再 挺 我 一 次 」,https://tw.appledaily.com/politics/realtime/20200110/1688214/,2020/1/10,Apple Daily
百 萬 韓 粉 遭 控 領 6 百 元 走 路 工 　 王 淺 秋 駁 ： 有 的 話 競 辦 早 破 產,https://tw.appledaily.com/local/realtime/20200110/1689234/,2020/1/10,Apple Daily
【 特 稿 】 不 同 於 韓 國 瑜 狂 罵 民 進 黨 　 蔡 英 文 選 前 之 夜 訴 求 理 性 溫 暖 非 仇 恨,https://tw.appledaily.com/politics/realtime/20200110/1689441/,2020/1/10,Apple Daily
【 選 前 之 夜 】 綠 營 台 中 造 勢 湧 7 萬 人 　 賴 清 德 壓 軸 ！ 斥 韓 國 瑜 葬 送 中 華 民 國,https://tw.appledaily.com/politics/realtime/20200110/1689332/,2020/1/10,Apple Daily
【 讓 影 像 說 話 】 「 凱 道 大 拚 場 」 英 韓 誰 勝 ？ 　 《 蘋 果 》 縮 時 影 片 帶 你 看 真 相,https://tw.appledaily.com/politics/realtime/20200110/1689056/,2020/1/10,Apple Daily
【 選 戰 觀 察 】 韓 國 瑜 打 蓋 牌 策 略 鞏 固 韓 粉 信 心 　 選 舉 勝 負 讓 人 霧 裡 看 花,https://tw.appledaily.com/politics/realtime/20200110/1689416/,2020/1/10,Apple Daily
​ 【 現 場 側 記 】 凱 道 尬 場 蔡 陣 營 不 「 膨 風 」 　 改 用 5 3 萬 線 上 互 動 取 代,https://tw.appledaily.com/politics/realtime/20200110/1689432/,2020/1/10,Apple Daily
評 論 家 投 書 《 紐 時 》 ： 蔡 若 連 任 　 要 感 謝 中 國 的 愚 蠢,https://tw.appledaily.com/international/realtime/20200110/1689412/,2020/1/10,Apple Daily
C N N ： 台 灣 選 民 最 關 注 兩 岸 關 係,https://tw.appledaily.com/international/realtime/20200110/1689431/,2020/1/10,Apple Daily
韓 國 瑜 鎮 守 主 場 高 雄 　 國 民 黨 板 橋 造 勢 少 了 「 韓 粉 味 」,https://tw.appledaily.com/politics/realtime/20200110/1689423/,2020/1/10,Apple Daily
【 新 北 選 前 之 夜 】 余 天 泣 謝 三 重 　 「 無 論 結 果 與 三 重 感 情 永 存 」,https://tw.appledaily.com/local/realtime/20200110/1689349/,2020/1/10,Apple Daily
《 洛 杉 磯 時 報 》 ： 台 灣 選 民 面 臨 兩 難 抉 擇,https://tw.appledaily.com/international/realtime/20200110/1688974/,2020/1/10,Apple Daily
【 韓 國 瑜 選 前 之 夜 】 神 秘 嘉 賓 韓 冰 壓 軸 會 5 0 萬 群 眾 　 獻 花 擁 抱 父 母 「 年 輕 人 的 未 來 靠 你 」,https://tw.appledaily.com/politics/realtime/20200110/1688684/,2020/1/10,Apple Daily
凱 道 造 勢 可 容 納 多 少 人 ？ 　 數 學 老 師 ： 最 多 6 . 9 萬 人,https://tw.appledaily.com/politics/realtime/20200110/1689176/,2020/1/10,Apple Daily
【 國 民 黨 選 前 之 夜 】 吳 敦 義 喊 話 「 下 架 空 心 菜 」 　 連 勝 文 偕 蔡 依 珊 現 身 挺 韓 國 瑜,https://tw.appledaily.com/politics/realtime/20200110/1688194/,2020/1/10,Apple Daily
【 民 眾 黨 選 前 之 夜 】 柯 P 大 噴 發 　 左 批 韓 罵 《 蘋 果 》 不 會 發 大 財 、 右 損 小 英 菜 包 讀 稿 機,https://tw.appledaily.com/life/realtime/20200110/1688460/,2020/1/10,Apple Daily
【 新 北 選 前 之 夜 】 賴 清 德 壓 軸 掀 高 潮 　 高 呼 「 三 張 選 票 顧 台 灣 」,https://tw.appledaily.com/politics/realtime/20200110/1689140/,2020/1/10,Apple Daily
【 選 前 之 夜 】 蔡 英 文 高 雄 場 喊 破 3 0 萬 人 　 「 韓 國 瑜 當 選 、 中 國 最 高 興 」,https://tw.appledaily.com/politics/realtime/20200110/1688404/,2020/1/10,Apple Daily
【 花 蓮 選 前 之 夜 】 三 腳 督 強 碰 市 區 金 三 角 　 藍 綠 竟 同 喊 「 打 倒 花 蓮 王 」,https://tw.appledaily.com/local/realtime/20200110/1689364/,2020/1/10,Apple Daily
【 台 東 選 前 之 夜 】 雨 中 掃 街 熱 情 不 減 　 藍 綠 陣 營 造 勢 拚 場,https://tw.news.appledaily.com/local/realtime/20200110/1689390/,2020/1/10,Apple Daily
總 統 大 選 倒 數 ！ 返 鄉 列 車 出 發 　 首 投 族 焦 慮 、 用 投 票 表 態,https://tw.news.appledaily.com/life/realtime/20200110/1688840/,2020/1/10,Apple Daily
【 宜 蘭 選 前 之 夜 】 最 後 衝 刺 　 呂 國 華 羅 東 宜 蘭 徒 步 掃 街 搶 票,https://tw.news.appledaily.com/local/realtime/20200110/1689168/,2020/1/10,Apple Daily
​ 【 基 隆 立 委 】 宋 瑋 莉 選 前 之 夜 大 遊 行 　 韓 國 瑜 「 分 身 」 乍 現,https://tw.news.appledaily.com/local/realtime/20200110/1689086/,2020/1/10,Apple Daily
選 前 之 夜 外 媒 關 注 　 美 聯 社 開 兩 現 場 直 播,https://tw.news.appledaily.com/international/realtime/20200110/1689391/,2020/1/10,Apple Daily
選 前 之 夜 神 秘 嘉 賓 名 單 曝 光 　 韓 辦 證 實 是 陳 樹 菊 和 李 佳 芬 母 女,https://tw.news.appledaily.com/politics/realtime/20200110/1689206/,2020/1/10,Apple Daily
【 名 采 】 瞿 欣 怡 專 欄 ： 選 舉 之 後 ， 練 習 和 好,https://www.appledaily.com.tw/realtimenews/article/new/20200110/1688882/,2020/1/10,Apple Daily
藍 綠 高 雄 拚 場 維 安 等 級 升 高 　 警 設 安 檢 門 出 動 防 爆 犬,https://tw.news.appledaily.com/politics/realtime/20200110/1689322/,2020/1/10,Apple Daily
「 離 家 9 天 回 來 有 2 老 迎 接 」 　 徐 佳 瑩 一 句 話 竟 遭 出 征,https://tw.entertainment.appledaily.com/realtime/20200110/1689003/,2020/1/10,Apple Daily
藍 綠 陣 營 頻 開 吉 　 雲 林 地 檢 署 好 忙,https://tw.news.appledaily.com/politics/realtime/20200110/1689161/,2020/1/10,Apple Daily
台 灣 面 臨 選 邊 站 壓 力 　 彭 博 ： 選 票 映 照 美 中 角 力,https://tw.finance.appledaily.com/realtime/20200110/1689280/,2020/1/10,Apple Daily
雞 排 妹 再 挺 洪 慈 庸 　 批 對 手 帶 職 參 選 氣 焰 狂 妄,https://tw.news.appledaily.com/politics/realtime/20200110/1689077/,2020/1/10,Apple Daily
親 民 黨 北 市 掃 街 橘 旗 飄 揚 　 宋 楚 瑜 再 嗆 韓 國 瑜 ： 跳 槽 選 總 統 沒 正 當 性,https://tw.news.appledaily.com/politics/realtime/20200110/1689137/,2020/1/10,Apple Daily
罷 韓 陣 營 發 投 票 動 員 令 　 要 韓 國 瑜 高 雄 得 票 創 新 低,https://tw.news.appledaily.com/politics/realtime/20200110/1689150/,2020/1/10,Apple Daily
【 不 勉 強 】 郭 台 銘 不 去 民 眾 黨 選 前 之 夜 　 感 謝 趙 少 康 給 政 黨 票 空 間,https://tw.news.appledaily.com/politics/realtime/20200110/1688856/,2020/1/10,Apple Daily
性 平 教 育 政 見 之 查 核 ： 照 顧 未 成 年 懷 孕 少 女 之 政 策 並 非 高 雄 首 創,https://www.appledaily.com.tw/realtimenews/article/new/20200110/1689223/,2020/1/10,Apple Daily
【 總 統 大 選 】 逾 3 0 0 位 國 際 學 者 媒 體 來 台 觀 選 　 中 國 與 港 、 澳 觀 選 團 超 過 3 0 團,https://tw.news.appledaily.com/politics/realtime/20200110/1689196/,2020/1/10,Apple Daily
高 雄 國 民 黨 部 前 開 票 日 8 時 起 交 管 　 大 眾 運 輸 指 南 看 這 裡,https://tw.news.appledaily.com/politics/realtime/20200110/1689108/,2020/1/10,Apple Daily
【 南 投 立 委 】 藍 營 長 期 執 政 　 綠 營 突 圍 需 年 輕 選 票 加 持,https://tw.news.appledaily.com/local/realtime/20200110/1688386/,2020/1/10,Apple Daily
連 勝 文 ： 投 韓 不 用 喜 歡 他 　 打 恐 嚇 牌 「 投 蔡 放 棄 健 康 」,https://tw.news.appledaily.com/politics/realtime/20200110/1689133/,2020/1/10,Apple Daily
藍 軍 團 結 ！ 馬 英 九 、 王 金 平 合 體 　 陪 費 鴻 泰 掃 街,https://tw.news.appledaily.com/local/realtime/20200110/1689132/,2020/1/10,Apple Daily
【 名 嘴 表 態 】 羅 友 志 挺 韓 「 西 天 取 經 」 　 苦 苓 選 英 ： 投 給 台 灣 主 權,https://tw.news.appledaily.com/politics/realtime/20200110/1689135/,2020/1/10,Apple Daily
【 台 北 立 委 】 昶 佐 郁 方 雙 林 割 喉 戰 　 立 信 坐 等 漁 翁 之 利,https://tw.news.appledaily.com/local/realtime/20200110/1689131/,2020/1/10,Apple Daily
蔡 韓 今 晚 高 雄 尬 場 　 2 千 警 力 維 安 ！ 禁 用 空 拍 機,https://tw.news.appledaily.com/politics/realtime/20200110/1689099/,2020/1/10,Apple Daily
宋 楚 瑜 新 北 輔 選 李 正 皓 　 開 砲 猛 轟 國 民 黨,https://tw.news.appledaily.com/local/realtime/20200110/1689112/,2020/1/10,Apple Daily
台 灣 大 選 為 何 重 要 ？ 　 路 透 列 出 4 大 Q & A 說 明,https://tw.news.appledaily.com/international/realtime/20200110/1689100/,2020/1/10,Apple Daily
蔡 英 文 今 晚 府 前 晚 會 衝 刺 　 綠 營 ： 不 跟 風 喊 數 字 但 會 讓 凱 道 大 爆 滿,https://tw.news.appledaily.com/politics/realtime/20200110/1689121/,2020/1/10,Apple Daily
【 U 默 片 】 候 選 人 辯 論 神 剪 5 分 半 鐘 　 韓 總 榮 登 電 視 笑 話 冠 軍,https://tw.news.appledaily.com/politics/realtime/20200110/1687583/,2020/1/10,Apple Daily
【 民 眾 黨 選 情 ／ 分 析 】 關 鍵 倒 數 狂 催 賭 爛 藍 綠 柯 粉 　 投 票 率 衝 6 5 ％ 可 固 票 源,https://tw.news.appledaily.com/life/realtime/20200110/1688107/,2020/1/10,Apple Daily
楊 秋 興 表 態 總 統 票 投 蔡 英 文 　 批 韓 國 瑜 品 行 不 端,https://tw.news.appledaily.com/politics/realtime/20200110/1688998/,2020/1/10,Apple Daily
