titles,links,time,media
外媒：這一票決定台灣未來走向 牽動美中角力,https://news.ltn.com.tw/news/politics/breakingnews/3036554,2020/1/10 23:46,Liberal Times
趙少康改挺韓國瑜 他爆「含淚歸隊」可悲內幕,https://news.ltn.com.tw/news/entertainment/breakingnews/3036546,2020/1/10 23:29,Liberal Times
沒選立委劍指縣長？ 蘇清泉高掛合體韓國瑜、張善政看板,https://news.ltn.com.tw/news/politics/breakingnews/3036542,2020/1/10 23:19,Liberal Times
賴坤成痛批韓國瑜操控陳樹菊 造成姐弟關係危機,https://news.ltn.com.tw/news/politics/breakingnews/3036422,2020/1/10 23:15,Liberal Times
花蓮立委三腳督 藍綠遊行強碰同喊「打倒花蓮王」,https://news.ltn.com.tw/news/politics/breakingnews/3036538,2020/1/10 23:11,Liberal Times
選前最後催票 柯文哲：三黨不過半 台灣重開機,https://news.ltn.com.tw/news/politics/breakingnews/3036516,2020/1/10 23:05,Liberal Times
國民黨新北選前之夜連線高雄 侯友宜：支持力量都回來了,https://news.ltn.com.tw/news/politics/breakingnews/3036492,2020/1/10 23:04,Liberal Times
知識藍含淚歸隊？ 李正皓：沒風骨的叫「軟骨藍」,https://news.ltn.com.tw/news/politics/breakingnews/3036445,2020/1/10 22:45,Liberal Times
明天就是投票日！ 館長一句話沸騰網友,https://news.ltn.com.tw/news/politics/breakingnews/3036374,2020/1/10 22:27,Liberal Times
高雄選前之夜稱逾50萬人 韓國瑜：用選票翻轉台灣命運,https://news.ltn.com.tw/news/politics/breakingnews/3036490,2020/1/10 22:21,Liberal Times
不要中國台灣！卓榮泰凱道率全場高喊「沈上將謝謝你」,https://news.ltn.com.tw/news/politics/breakingnews/3036424,2020/1/10 22:09,Liberal Times
選前之夜壓軸現身力挺 韓冰這句話讓韓國瑜哭了,https://news.ltn.com.tw/news/politics/breakingnews/3036477,2020/1/10 22:05,Liberal Times
選前之夜衝刺 呂國華率支持者大掃街,https://news.ltn.com.tw/news/politics/breakingnews/3036423,2020/1/10 21:57,Liberal Times
林佳龍：蔡正元的記者會是這次選舉最大的奧步,https://news.ltn.com.tw/news/politics/breakingnews/3036359,2020/1/10 21:53,Liberal Times
民進黨支持者擠爆凱道！賴清德：守護中華民國 必先守護台灣,https://news.ltn.com.tw/news/politics/breakingnews/3036467,2020/1/10 21:49,Liberal Times
砲轟九二共識誤民誤國 賴清德：用選票讓台灣贏,https://news.ltn.com.tw/news/politics/breakingnews/3036387,2020/1/10 21:47,Liberal Times
詛咒牌？連勝文：挺小英親友得肺癌別抱怨 網友砲轟,https://news.ltn.com.tw/news/politics/breakingnews/3036110,2020/1/10 21:40,Liberal Times
催票脫口「死韓粉」 余天深深一鞠躬說對不起,https://news.ltn.com.tw/news/politics/breakingnews/3036454,2020/1/10 21:33,Liberal Times
