titles,links,time,media
1.大南方計畫 張善政批蔡：撒錢,https://udn.com/ndapp/Story?no=1&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501252,2020-01-10,UDN
2.選前之夜 藍綠重兵板橋大拚場,https://udn.com/ndapp/Story?no=2&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501282,2020-01-10,UDN
3.選情緊繃都告急 選將紛喊搶救,https://udn.com/ndapp/Story?no=3&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501265,2020-01-10,UDN
4.選前最後一天 候選人紛告急,https://udn.com/ndapp/Story?no=4&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501257,2020-01-10,UDN
5.共諜案再成焦點 蔡正元公布視訊「要王立強說出事實」,https://udn.com/ndapp/Story?no=5&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501428,2020-01-10,UDN
6.朱立倫：北市估險勝 救1席算1席,https://udn.com/ndapp/Story?no=6&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501427,2020-01-10,UDN
7.凱道爆人潮…韓選情起風了？,https://udn.com/ndapp/Story?no=7&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501424,2020-01-10,UDN
8.藍大團結：最大黨叫討厭民進黨,https://udn.com/ndapp/Story?no=8&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501417,2020-01-10,UDN
9.韓：會找優秀行政院長,https://udn.com/ndapp/Story?no=9&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501422,2020-01-10,UDN
10.韓選前之夜 陳樹菊現身,https://udn.com/ndapp/Story?no=10&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501421,2020-01-10,UDN
11.趙少康催知識藍、經濟藍挺韓,https://udn.com/ndapp/Story?no=11&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501419,2020-01-10,UDN
12.國旗海淹凱道！景福門五路擠爆,https://udn.com/ndapp/Story?no=12&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501418,2020-01-10,UDN
13.韓營控蹺班 蔡：每天都在崗位上,https://udn.com/ndapp/Story?no=13&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501393,2020-01-10,UDN
14.扣黑韓870封 警追寄件人,https://udn.com/ndapp/Story?no=14&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501342,2020-01-10,UDN
15.凱道百萬韓流再現,https://udn.com/ndapp/Story?no=15&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501395,2020-01-10,UDN
16.啟動棄保 國民黨：不投韓就是支持蔡,https://udn.com/ndapp/Story?no=16&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501590,2020-01-10,UDN
17.邱國正第一線坐鎮,https://udn.com/ndapp/Story?no=17&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501554,2020-01-10,UDN
18.千字感言 邱毅：這次大概是我最後一戰,https://udn.com/ndapp/Story?no=18&page=1&udndbid=udnfree&SearchString=wfqw6rfsK6TptME%2BPTIwMTkxMTIzK6TptME8PTIwMjAwMTEwK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2020-01-10&news_id=9501553,2020-01-10,UDN
